MSI_DO_YOU_AGREE,"Do you agree?"
MSI_SHOPPING_OFF,"You can open a shop by double-clicking. [/sh OFF]"
MSI_MAIL_SEND_ERROR2,"Please enter zeny amount before sending mail."
MSI_ADD_MONEY_FALSE,"You do not have enough zeny to pay the Auction Fee."
MSI_HOMUN_SHOWINFO,"View Status"
MSI_HOMUN_FEEDING,"Feed"
MSI_HOMUN_WAITING,"Stand By"
MSI_JOB_SUPERNOVICE_M,"Super Novice"
MSI_JOB_SUPERNOVICE_F,"Super Novice"
MSI_JOB_TAEKWON_M,"Taekwon Boy"
MSI_JOB_TAEKWON_F,"Taekwon Girl"
MSI_KWONSUNG_M,"Star Gladiator"
MSI_KWONSUNG_F,"Star Gladiator"
MSI_SOULLINGKER_M,"Soul Linker"
MSI_SOULLINGKER_F,"Soul Linker"
MSI_BAN_PC_IP_UNFAIR,"Please check the connection, more than 2 accounts are connected with Internet Cafe Time Plan."
MSI_BILLING_1,"Your account is using monthly payment. (Remaining day: %d day)"
MSI_BILLING_2,"Your account is using time limited. (Remaining time: %d hour %d minute %d second)"
MSI_MAIL_ITEM_ADD_FAILED,"This item cannot be mailed."
MSI_MAIL_ADD_ITEM_OVER_FAILURE,"You cannot accept any more items. Please try again later."
MSI_PTSEX1,"Male"
MSI_PTSEX2,"Female"
MSI_PT_NEWUSER,"New User."
MSI_PT_ACINFO,"E-mail address is required to delete a character."
MSI_PT_ACINFO2,"Please enter the correct information."
MSI_PT_NEWKEYINFO,"Please use this key."
MSI_PT_FAIL_CARDPASS,"Please enter the correct card password."
MSI_PTID1,"PT Info"
MSI_PTID2,"PT_ID is %s"
MSI_PTID3,"NUM_ID is %s"
MSI_PTID4,"Please don't forget this information."
MSI_PT_ERROR_1001,"1001"
MSI_PT_ERROR_1002,"1002"
MSI_PT_ERROR_1003,"1003"
MSI_PT_ERROR_1004,"1004"
MSI_PT_ERROR_1006,"1006"
MSI_PT_ERROR_1007,"1007"
MSI_PT_ERROR_1008,"1008"
MSI_PT_ERROR_1009,"1009"
MSI_PT_ERROR_1012,"1012"
MSI_PT_ERROR_1013,"1013"
MSI_PT_ERROR_1014,"1014"
MSI_PT_ERROR_1015,"1015"
MSI_PT_ERROR_1019,"1019"
MSI_PT_ERROR_1020,"1020"
MSI_PT_ERROR_1021,"1021"
MSI_PT_ERROR_1023,"1023"
MSI_PT_ERROR_1024,"1024"
MSI_PT_ERROR_1025,"1025"
MSI_PT_ERROR_1027,"1027"
MSI_PT_ERROR_1028,"1028"
MSI_PT_ERROR_10,"10"
MSI_PT_ERROR_20,"20"
MSI_PT_ERROR_40,"40"
MSI_PT_ERROR_50,"50"
MSI_PT_ERROR_60,"60"
MSI_PT_ERROR_70,"70"
MSI_PT_ERROR_80,"80"
MSI_PT_ERROR_90,"90"
MSI_PT_ERROR_100,"100"
MSI_PT_ERROR_110,"110"
MSI_PT_POINT1,"Do you want to receive 30 points?"
MSI_PT_POINT2,"30 points (5 hours) have been added."
MSI_AUCTION_ADD_ITEM_FAILURE,"You cannot register Unidentified Items in auctions."
MSI_AUCTION_ADD_ITEM_FAILURE2,"You cannot register this Consumable Item in an auction."
MSI_CLOSE_MERCHANTITEMWND,"Please close the Cart Window to open the Mail Window."
MSI_CLOSE_MAILWND,"Please close the Mail Window to open the Cart Window."
MSI_MSG_BULLET_EQUIPMENT_SUCCESS,"Bullets have been equipped."
MSI_MAIL_RETURN_SUCCESS,"The mail has been returned to sender."
MSI_MAIL_RETURN_FAILURE,"The mail no longer exists."
MSI_BAN_PC_IP_COUNT_ALL,"More than 30 players sharing the same IP have logged into the game for an hour. Please check this matter."
MSI_BAN_PC_IP_COUNT,"More than 10 connections sharing the same IP have logged into the game for an hour. Please check this matter."
MSI_GAMEGUARD_RESTART,"Please restart the game."
MSI_MER_INFO_TYPE_ARCHER,"Mercenary: Archer"
MSI_MER_INFO_TYPE_SWORDMAN,"Mercenary: Swordman"
MSI_MER_INFO_TYPE_LANCER,"Mercenary: Spearman"
MSI_LEFT_TIME,"Expiration"
MSI_MER_FRIENDLY,"Loyalty"
MSI_MER_CALLCOUNT,"Summons"
MSI_MER_KILL,"Kill"
MSI_PET_STARVING,"You can feel hatred from your pet for neglecting to feed it."
MSI_GANGSI_POINT,"[POINT] You earned %d Taming Mission Ranking Points, giving you a total of %d points."
MSI_GANGSI_MISSION,"[Taming Mission] Target Monster: %s"
MSI_EXPLAIN_HUNTING,"/hunting: You can check the your hunting list."
MSI_DEATH_Q01,"[Angel's Question] Please tell me, how many %s skills do you have?"
MSI_DEATH_Q02,"[Angel's Question] Please tell me, how much zeny you'll have if you divide it by 100,000?"
MSI_DEATH_Q03,"[Angel's Question] Please tell me, what is today's date?"
MSI_DEATH_Q04,"[Angel's Question] Please tell me, how many %s do you have?"
MSI_DEATH_Q05,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in SiYeon's name?"
MSI_DEATH_Q06,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in Munak's name?"
MSI_DEATH_Q07,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in Bongun's name?"
MSI_DEATH_Q08,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, Ragnarok?"
MSI_DEATH_Q09,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, online?"
MSI_DEATH_Q10,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, death?"
MSI_DEATH_Q11,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, knight?"
MSI_DEATH_Q12,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, gravity?"
MSI_DEATH_Q13,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, dark?"
MSI_DEATH_Q14,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, collecter?"
MSI_DEATH_R01,"[Angel's Answer] Thank you for letting me know~"
MSI_DEATH_R02,"[Angel's Answer] I'm very pleased with your answer. You are a splendid adventurer."
MSI_DEATH_R05,"[Angel's Answer] You've disappointed me..."
MSI_DEATH_POINT,"[Point] You earned %d Ranking Points, giving you a total of %d Ranking Points."
MSI_POINT_SHOP,"[%s]'s Points: %d Points"
MSI_CONFIRM_SELECT_CHARACTERS,"Unselected Characters will be deleted. Continue?"
MSI_ERROR_SELECT_CHARACTERS,"You cannot select more than 8."
MSI_CONFIRM_TO_CHANGE_NAME,"Do you want to change your name to [%s]?"
MSI_CHANGE_NAME_SUCCESS,"Character Name has been changed successfully."
MSI_CHANGE_NAME_FAILURE,"You have failed to change this character's name."
MSI_CAN_BUY_ONLY_ONEITEM,"You can purchase only one kind of item at a time."
MSI_NO_SELECT_CHARACTERS,"No characters were selected. You must select at least one character."
MSI_ALREADY_CHANGED_NAME,"This character's name has already been changed. You cannot change a character's name more than once."
MSI_NOTREGISTED_USER,"User Information is not correct."
MSI_DUPLICATED_CHAR_NAME,"Another user is using this character name, so please select another one."
MSI_CANNOT_PARTYCALL,"The party member was not summoned because you are not the party leader."
MSI_NO_PARTYMEM_ON_THISMAP,"There is no party member to summon in the current map."
MSI_NOTFIND_BOSSMON,"You cannot find any trace of a Boss Monster in this area."
MSI_APPEARANCE_TIME_OF_BOSSMON,"Boss Monster, [%s] will appear in %02d hour(s) and %02d minute(s)."
MSI_SHOW_POSITION_OF_BOSSMON,"The location of Boss Monster, [%s], will be displayed on your Mini-Map."
MSI_CONFIRM_TO_OPEN_CASH_ITEM,"Do you want to open ^990099%s^000000? Once opened, the contents cannot be moved to other locations aside from the Kafra Storage. The item effect isn't doubled, even if the same items are used more than once."
MSI_BUY_CASH_FAIL_NPC,"The Purchase has failed because the NPC does not exist."
MSI_BUY_CASH_FAIL_SYSTEM,"The Purchase has failed because the Kafra Shop System is not working correctly."
MSI_BUY_CASH_FAIL_EXCHANGE,"You cannot purchase items while you are in a trade."
MSI_BUY_CASH_FAIL_ITEM_ID,"The Purchase has failed because the Item Information was incorrect."
MSI_ENST_STR,"STR has increased."
MSI_DSST_STR,"STR has returned to normal."
MSI_ENST_AGI,"AGI has increased."
MSI_DSST_AGI,"AGI has returned to normal."
MSI_ENST_VIT,"VIT has increased."
MSI_DSST_VIT,"VIT has returned to normal."
MSI_ENST_INT,"INT has increased."
MSI_DSST_INT,"INT has returned to normal."
MSI_ENST_DEX,"DEX has increased."
MSI_DSST_DEX,"DEX has returned to normal."
MSI_ENST_LUK,"LUK has increased."
MSI_DSST_LUK,"LUK has returned to normal."
MSI_ENST_AVOIDANCE,"Flee Rate (Flee) has increased."
MSI_DSST_AVOIDANCE,"Flee Rate has returned to normal."
MSI_ENST_HIT,"Accuracy Rate (Hit) has increased."
MSI_DSST_HIT,"Accuracy Rate has returned to normal."
MSI_ENST_CRITICALSUCCESSVALUE,"Critical Attack (Critical) has increased."
MSI_DSST_CRITICALSUCCESSVALUE,"Critical Attack has returned to normal."
MSI_PLUSEXP,"You will receive 1.5 times more EXP from hunting monsters for the next 30 minutes."
MSI_DDEATHPENALTY,"This character will not receive any EXP penalty if ko'ed within the next 30 minutes."
MSI_RECEIVEITEM,"Regular item drops from monsters will be doubled for the next 30 minutes."
MSI_BOSS_ALARM,"Boss Monster Map Information is revealed for the next 10 minutes."
MSI_BUY_RECONFIRM,"Do you really want to purchase this item? %d points will be deducted from your total Kafra Credit Points."
MSI_BUY_CASH_FAIL_MONEY," You do not have enough Kafra Credit Points."
MSI_NOTICE_TO_DELETE_TIME," ^ff0000Expiration Date: %s^000000"
MSI_NOTICE_TO_REMAIN_ITEMUSINGTIME,"The [%s] item will disappear in %d minutes."
MSI_LAST_NOTICE_TO_REMAIN_ITEMUSINGTIME,"[%s] item will be deleted from the Inventory in 1 minute."
MSI_NOTICE_TO_DELETE_ITEM,"[%s] item has been deleted from the Inventory."
MSI_INPUT_NUMBER,"Input Number"
MSI_TIME_TYPE2,"%m/%d %H:%M"
MSI_APPEARANCE_TIME_OF_BOSSMON2,"Boss Monster [%s] will appear within 1 minute."
MSI_MER_SKILLLIST,"Mercenary Soldier Skill List"
MSI_DA_EXP_ACCEPT,"Do you agree to cast the magic spell that consumes 1 Black Gemstone and 1,000,000 Zeny?"
MSI_COLLECTOR_POINT,"[Point] You have gained %d Collector Rank Points; you now have a total of %d Collector Rank Points."
MSI_COLLECTOR_MISSION,"[Collector Rank] Target Item: %s"
MSI_MER_FINISH,"The mercenary contract has expired."
MSI_MER_DIE,"The mercenary has died."
MSI_MER_RETIRE,"You have released the mercenary."
MSI_MER_RUNAWAY,"The mercenary has run away."
MSI_NOTICE_TO_REMAIN_ITEMUSINGTIME2," The [%s] item will disappear in %d seconds."
MSI_PCBANG_EVENT,"IP Bonus: EXP/JEXP %d%%, Death Penalty %d%%, Item Drop %d%%"
MSI_LIMIT_CHAR_DELETE,"Symbols in Character Names are forbidden."
MSI_MER_USERAI_ON,"Mercenary will follow custom AI."
MSI_MER_USERAI_OFF,"Mercenary will follow basic AI."
MSI_CHARACTER_NAME," %s's "
MSI_ITEM_PICKUP_PARTY,"%s has acquired %s."
MSI_VIEW_CHAT_MSG,"Public Chat"
MSI_VIEW_WHISPER_MSG,"Whisper"
MSI_VIEW_PARTY_MSG,"Party Chat"
MSI_VIEW_GUILD_MSG,"Guild Chat"
MSI_VIEW_GET_ITEM_MSG,"Item get/drop"
MSI_VIEW_EQUIP_MSG,"Equipment on/off"
MSI_VIEW_CHANGE_STATUS_MSG,"Abnormal status"
MSI_VIEW_GET_ITEM_PARTY_MSG,"Party member's obtained item"
MSI_VIEW_CHANGE_STATUS_PARTY_MSG,"Party member's abnormal status"
MSI_VIEW_FAIL_SKILL_MSG,"Skill failure"
MSI_VIEW_PARTY_SETUP_MSG,"Party configuration"
MSI_VIEW_DAMAGED_EQUIP_MSG,"Damaged equipment"
MSI_BATTLE_CHAT_WND_OPTION,"Battle Message Window"
MSI_POINT_SHOP_NHN,"[%s]'s Han Coin: %d Han Coin"
MSI_ST_CHAT,"Public"
MSI_BT_CHAT,"Battle"
MSI_PHONE_CONFIRM,"Mobile Authentication"
MSI_BOOK_READ,"Read"
MSI_BOOK_AUTOREAD,"Auto Read"
MSI_BOOK_KEEP,"Bookmark"
MSI_BOOK_PREV,"Previous"
MSI_BOOK_NEXT,"Next"
MSI_BOOK_CLOSE,"Close"
MSI_DAMAGED_EQUIP,"%s's equipment has been damaged."
MSI_DAMAGED_EQUIP_PARTY,"%s's %s was damaged."
MSI_DAMAGED_WEAPON,"Weapon"
MSI_DAMAGED_BODY,"Armor"
MSI_NOT_ENOUGH_SKILLLEVE5_2,"Insufficient Skill Level for joining a Party"
MSI_POINT_SHOP2,"[%s]'s Free Cash: %d Cash"
MSI_USE_FREE_POINT,"Use Free Cash: "
MSI_CASH,"Cash"
MSI_SETTLE_WEB_URL_HANGAME,"http://payment.ro.hangame.com/index.asp"
MSI_BAN_GRAVITY_MEM_AGREE,"You need to accept the Privacy Policy from Gravity in order to use the service."
MSI_BAN_GAME_MEM_AGREE,"You need to accept the User Agreement in order to use the service."
MSI_BAN_HAN_VALID,"Incorrect or nonexistent ID."
MSI_BUY_RECONFIRM2,"Do you really want to purchase these items? You will spend %d Regular Cash Points and %d Free Cash Points."
MSI_NOTIFY_PLAYTIME1,"%d hour(s) has passed."
MSI_NOTIFY_PLAYTIME2,"%d hour(s) %d minute(s) has passed."
MSI_WARNING_MSG1,"Please stop playing the game, and take a break. Exp and other features will be reduced to 50%%."
MSI_WARNING_MSG2,"Please stop playing the game since you'll need to rest. Exp and other features will be fixed to 0%%."
MSI_QUESTWIN,"Quest List"
MSI_RO_SHOP,"RO Shop"
MSI_MDUNGEON_SUBSCRIPTION_ERROR_UNKNOWN,"Memorial Dungeon, [%s] is booked."
MSI_MDUNGEON_SUBSCRIPTION_ERROR_DUPLICATE,"Failed to book Memorial Dungeon, [%s]."
MSI_MDUNGEON_SUBSCRIPTION_ERROR_RIGHT,"Memorial Dungeon, [%s] is already booked."
MSI_MDUNGEON_SUBSCRIPTION_ERROR_EXIST,"Memorial Dungeon, [%s] is created.\n Please enter in 5 minutes."
MSI_MDUNGEON_SUBSCRIPTION_CANCEL_FAIL,"Failed to create Memorial Dungeon, [%s].\n Please try again."
MSI_JOINMSG_REFUSE,"The character blocked the party invitation."
MSI_INVITE_PARTY_REFUSE,"Block all party invitations."
MSI_INVITE_PARTY_ACCEPT,"Allow all party invitations."
MSI_YOURITEM_EQUIP,"This item will be permanently bound to this character once it is equipped. Do you really want to equip this item?"
MSI_YOURITEM_EQUIPED,"%s is now permanently bound to this character."
MSI_BUY_TO_FREE_POINT,"You do not have enough Kafra Credit Points. Please enter whether you have free credit points."
MSI_REQ_JOIN_PARTY3,"Request to Join Party"
MSI_VIEW_SIEGE_INFO_MSG,"WOE Information"
MSI_MDUNGEON_SUBSCRIPTION_CANCEL_SUCCESS,"Memorial Dungeon %s's reservation has been canceled."
MSI_MDUNGEON_CREATE_FAIL,"Failed to create Memorial Dungeon %s. Please try again."
MSI_IMPOSSIBLE_SKILL_AREA,"This skill cannot be used within this area."
MSI_IMPOSSIBLE_USEITEM_AREA,"This item cannot be used within this area."
MSI_MEMORIAL_DUN,"Memorial Dungeon"
MSI_MEMORIAL_DUN_WAITING,"%s in Standby"
MSI_MEMORIAL_DUN_READY,"%s Available"
MSI_MEMORIAL_DUN_IN,"%s in Progress"
MSI_MEMORIAL_DUN_OUT1,"No one entered the Memorial Dungeon within its duration; the dungeon has disappeared."
MSI_MEMORIAL_DUN_OUT2,"Please apply for dungeon entry again to play in this dungeon."
MSI_MEMORIAL_DUN_PRIORITY,"Your Standby Priority: ^ff0000%d^000000"
MSI_MEMORIAL_DUN_NOTIFY,"The requested dungeon will be removed if you do not enter within ^ff0000%s^000000."
MSI_MEMORIAL_DUN_NOTIFY2,"Dungeon Mission Time Limit:"
MSI_MEMORIAL_DUN_CANCEL,"The Memorial Dungeon reservation has been canceled."
MSI_MEMORIAL_DUN_LIVE_TIME_OUT,"The Memorial Dungeon duration expired; it has been destroyed."
MSI_MEMORIAL_DUN_ENTER_TIME_OUT,"The Memorial Dungeon's entry time limit expired; it has been destroyed."
MSI_MEMORIAL_DUN_DESTROY_REQUEST,"The Memorial Dungeon has been removed."
MSI_MEMORIAL_DUN_ERROR,"A system error has occurred in the Memorial Dungeon. Please relog in to the game to continue playing."
MSI_FR_INVALID_SLOT,"This slot is not usable."
MSI_FR_BASELVL,"Your Base Level is over 15."
MSI_FR_INVALID_JOBLV,"Your Job Level is over 15."
MSI_FR_JOB,"You cannot play the Merchant class character in this slot."
MSI_FR_MAP,"Not Yet Implemented"
MSI_FR_ERR_MKCHAR_INVALID_SLOT,"You are not eligible to open the Character Slot."
MSI_FR_ERR_DELCHAR_INVALID_SLOT,"This character cannot be deleted."
MSI_OPEN_EQUIPEDITEM_REFUSED,"This character's equipment information is not open to the public."
MSI_OPEN_EQUIPEDITEM_REFUSE,"Equipment information not open to the public."
MSI_OPEN_EQUIPEDITEM_ACCEPT,"Equipment information open to the public."
MSI_REQ_VIEW_OTHERUSER,"Check %s's Equipment Info"
MSI_OTHERUSER_EQUIPED_ITEM,"%s\'s Equipment"
MSI_OPEN_EQUIPED_ITEM,"Show Equip"
MSI_NEED_PREMIUM_SERVICE,"This service is only available for premium users."
MSI_FR_INVALID_MONEY,"Free Trial users can only hold up to 50,000 zeny."
MSI_BATTLECHAT_ON,"Battlefield Chat has been activated."
MSI_BATTLECHAT_OFF,"Battlefield Chat has been deactivated."
MSI_MER_INFO_TYPE_MONSTER,"Mercenary Info - Monster Type"
MSI_RO_MAP,"World Map"
MSI_MEMORIAL_DUN_CLOSE,"The Memorial Dungeon is now closed."
MSI_DELETE_MER,"^ff0000Deleting a Mercenary Soldier^000000 will also delete his growth history. Do you really want to proceed with the deletion?"
MSI_MEMORIAL_DUN_OPEN,"The Memorial Dungeon is now open."
MSI_PHONE_BLOCK,"This account has not been confirmed by connecting to the safe communication key. Please connect to the key first, and then log into the game."
MSI_BAN_PC_IP_LIMIT_ACCESS,"The number of accounts connected to this IP has exceeded the limit."
MSI_QUESTGET,"You have received a new quest."
MSI_FINDTEXT_TO_SKILLDES,"^CC3399Requirement:"
MSI_VIEW_SKILL_DESCRIPT,"View Skill Info"
MSI_APPLY_SKILL_UP,"Once used, skill points cannot be re-allocated. Would you like to use the skill points?"
MSI_1TABNAME_SKILLWND,"1stJob"
MSI_2TABNAME_SKILLWND,"2ndJob"
MSI_RE17,"This account has been used for illegal program or hacking program. Block Time: %s"
MSI_RE18,"The possibility of exposure to illegal program, PC virus infection or Hacking Tool has been detected. Please execute licensed client. Our team is trying to make a best environment for Ro players."
MSI_WARNING_MSG3,"You are currently playing in the best game environment. Please enjoy the Ragnarok."
MSI_PLUSONLYJOBEXP,"Job Exp points from hunting monsters are increased by 50%% for 30 minutes."
MSI_PLUSEXP14532,"Exp points from hunting monsters are increased by 25%% for 30 minutes."
MSI_PLUSEXP14533,"EXP points from hunting monsters are increased by 100%% for 30 minutes."
MSI_PLUSEXP12312,"EXP points from hunting monsters are increased by 50%% for 60 minutes."
MSI_NOPARTY,"Unable to organize a party in this map."
MSI_NOPARTY2,"(%s) are currently in restricted map to join a party."
MSI_SIMPLE_CASH_SHOP,"Simple Item Shop"
MSI_SIMPLE_POINT_SHOP_NHN,"Han Coin: %d Han Coin"
MSI_SIMPLE_POINT_SHOP,"RoK Point: %d RoK Point"
MSI_SIMPLE_POINT_SHOP2,"Free Cash: %d Cash"
MSI_MAIN_USER_CANONT_LOGIN_FREE_SERVER,"An user of this server cannot connect to free server"
MSI_INVALID_ONETIMELIMIT,"Your password has expired. Please log in again"
MSI_3TABNAME_SKILLWND,"3rdJob"
MSI_USESKILL_FAIL_TOTARGET,"This skill can't be used on that target."
MSI_USESKILL_FAIL_ANCILLA_NUMOVER,"You can't use skill because you have exceeded the Ancilla possession limit"
MSI_USESKILL_FAIL_HOLYWATER,"[Holy Water] is required."
MSI_USESKILL_FAIL_ANCILLA,"[Ancilla] is required."
MSI_USESKILL_FAIL_DUPLICATE_RANGEIN,"Cannot be duplicated within a certain distance."
MSI_USESKILL_FAIL_NEED_OTHER_SKILL,"This skill requires other skills to be used."
MSI_NO_CHATTING,"Chat is not allowed in this map"
MSI_VET_3HOUR,"3 hours have passed."
MSI_VET_5HOUR,"5 hours have passed."
MSI_NPGAMEMON_ERROR_GAMEGUARD,"Game guard initialization error or previous version game guard file is installed. Please re-install the setup file and try again"
MSI_NPGMUP_ERROR_PARAM,"Either ini file is missing or altered. Install game guard setup file to fix the problem"
MSI_NPGG_ERROR_COLLISION,"There is a program found that conflicts with game guard"
MSI_PROOF_ERROR,"Incorrect client. Please run a normal client"
MSI_MOBILE_LOCKSERVER,"Please run a mobile verification"
MSI_FAILED_MOBILE_LOCKSERVER,"Verification failed"
MSI_USESKILL_FAIL_NEED_HELPER,"This skill can't be used alone"
MSI_USESKILL_FAIL_INVALID_DIR,"This skill can be used to certain direction only"
MSI_USESKILL_FAIL_SUMMON,"Cannot summon spheres anymore."
MSI_USESKILL_FAIL_SUMMON_NONE,"There is no summoned sphere or you do not have enough sphere."
MSI_USESKILL_FAIL_IMITATION_SKILL_NONE,"There is no imitation skills available."
MSI_USESKILL_FAIL_DUPLICATE,"You can't reuse this skill"
MSI_USESKILL_FAIL_CONDITION,"Skill can't be used in this state"
MSI_PICKUP_MAXCOUNT_LIMIT,"You have exceeded the maximum amount of possession of another item."
MSI_NPK_ERROR_NOTADMIN,"No administrative privileges. Must first run the program with administrator privileges."
MSI_NPK_ERROR_DRIVERVERSION,"nProtect KeyCrypt not the same. Please restart the program and the computer first."
MSI_NPK_ERROR_VERIFYVERSION,"Currently in Windows XP Compatibility Mode. The program now removes Compatibility Mode. Please restart the program."
MSI_DETECT_PS2KEYLOGGER,"PS/2 keyloggers exist."
MSI_DETECT_USBKEYLOGGER,"USB Keylogging attempt was detected."
MSI_DETECT_HHDUSBH,"HHD monitoring tool has been detected."
MSI_USESKILL_FAIL_PAINTBRUSH,"[Paint Brush] is required."
MSI_USESKILL_FAIL_II_SURFACE_PAINTS,"[Surface Paint] is required."
MSI_USESKILL_FAIL_POS,"Use the skills that are not at the specified location."
MSI_USESKILL_FAIL_HELPER_SP_INSUFFICIENT,"Insufficient SP."
MSI_BAN_OVER_CHARACTER_LIST,"Character %d is character selection window cannot connect to the game that exceeds the total. Please remove unwanted characters."
MSI_USESKILL_FAIL_II_NECK_CANDY,"[Neck Protection Candy] is required."
MSI_USESKILL_FAIL_II_MISERABLE_TEAR,"[Regrettable Tears] is required."
MSI_USESKILL_FAIL_II_PROTECT_NECK_CANDY,"[Neck Protection Candy] is required."
MSI_USESKILL_FAIL_GC_WEAPONBLOCKING,"Can only be used for linked to Weapon Blocking."
MSI_USESKILL_FAIL_GC_POISONINGWEAPON,"A weapon coated with Guillotine Cross's Poison is required."
MSI_USESKILL_FAIL_MADOGEAR,"Item can only be used when Mado Gear is mounted."
MSI_USESKILL_FAIL_II_VULCANBULLET,"[Vulcan Bullet] is required."
MSI_USESKILL_FAIL_II_FUELGAS,"[Mado Gear Fuel] is required."
MSI_USESKILL_FAIL_II_COLDSLOWERBULLET,"[Liquid Condensed Bullet] is required."
MSI_USESKILL_FAIL_CANONBALL,"Please load a [Cannon Ball]."
MSI_USESKILL_FAIL_II_MADOGEAR_ACCELERATION,"Please equip [Accelerator]."
MSI_USESKILL_FAIL_II_MADOGEAR_HOVERING_BOOSTER,"Please equip [Hovering Booster]."
MSI_TOXIN,"[Toxin] Poison effect is applied to the weapon."
MSI_PARALYZE,"[Paralysis] Poison effect is applied to the weapon."
MSI_VENOMBLEED,"[Fatigue] Poison effect is applied to the weapon."
MSI_MAGICMUSHROOM,"[Laughing] Poison effect is applied to the weapon."
MSI_DEATHHURT,"[Disheart] Poison effect is applied to the weapon."
MSI_PHYREXIA,"[Pyrexia] Poison effect is applied to the weapon."
MSI_OBLIANCURSE,"[Oblivion] Poison effect is applied to the weapon."
MSI_RICHEND,"[Leech] Poison effect is applied to the weapon."
MSI_USESKILL_FAIL_MADOGEAR_HOVERING,"Can only be used in Hovering state."
MSI_USESKILL_FAIL_II_MADOGEAR_SELFDESTRUCTION_DEVICE,"Please equip [Suicidal Device]."
MSI_USESKILL_FAIL_II_MADOGEAR_SHAPESHIFTER,"Please equip [Shape Shifter]."
MSI_USESKILL_FAIL_GUILLONTINE_POISON,"Guillotine Cross Poison is required."
MSI_USESKILL_FAIL_II_MADOGEAR_COOLING_DEVICE,"Please equip [Cooling Device]."
MSI_USESKILL_FAIL_II_MADOGEAR_MAGNETICFIELD_GENERATOR,"Please equip [Magnetic Field Generator]."
MSI_USESKILL_FAIL_II_MADOGEAR_BARRIER_GENERATOR,"Please equip [Barrier Builder]."
MSI_USESKILL_FAIL_II_MADOGEAR_OPTICALCAMOUFLAGE_GENERATOR,"Please equip [Camouflage Generator]."
MSI_USESKILL_FAIL_II_MADOGEAR_REPAIRKIT,"Please equip [Repair Kit]."
MSI_USESKILL_FAIL_II_MONKEY_SPANNER,"[Monkey Wrench] is required."
MSI_SKILLINTERVAL2,"Cannot use [%s] due to cooldown delay."
MSI_LEMIT_DELETE_LEVEL,"Deletion is impossible for over level %d"
MSI_USESKILL_FAIL_MADOGEAR_RIDE,"Can't be used while on Mado Gear."
MSI_DRAGONOFF,"Dismount Dragon"
MSI_MADOOFF,"Dismount Mado Gear"
MSI_STORE_TABNAME_0,"Use"
MSI_STORE_TABNAME_1,"Cash"
MSI_STORE_TABNAME_2,"Armors"
MSI_STORE_TABNAME_3,"Weapons"
MSI_STORE_TABNAME_4,"Ammo"
MSI_STORE_TABNAME_5,"Card"
MSI_STORE_TABNAME_6,"Etc"
MSI_ERROR_HS_TIMEOUT,"Client response time has passed so connection is terminated"
MSI_ERROR_DIFF_CLIENT,"Incorrect version of hack shield file. Please reinstall the client"
MSI_USESKILL_FAIL_SPELLBOOK,"[Magic Book] is required."
MSI_USESKILL_FAIL_SPELLBOOK_DIFFICULT_SLEEP,"Feel sleepy since Magic Book is too difficult to understand."
MSI_USESKILL_FAIL_SPELLBOOK_PRESERVATION_POINT,"Not enough saved point."
MSI_USESKILL_FAIL_SPELLBOOK_READING,"You can't read this Magic Book."
MSI_USESKILL_FAIL_II_FACE_PAINTS,"[Face Paint] is required."
MSI_USESKILL_FAIL_II_MAKEUP_BRUSH,"[Makeover Brush] is required."
MSI_MOBILE_TIMEOVER,"Waiting time has passed. Please log in again"
MSI_MOBILE_ANOTHER_LOGIN,"Watch out! Same account is already logged in. Stop mobile verification and log in again after changing your password"
MSI_MOBILE_WAITING_STATE,"Watch out! Same account is waiting for mobile verification. Stop mobile verification and log in again after changing your password"
MSI_ESC_OPTIONWND,"Game Options"
MSI_GRAPHIC_OPTIONWND,"Graphic Settings"
MSI_SOUND_OPTIONWND,"Audio Settings"
MSI_HOTKEYWND_NOTICE1,"Press a key to assign. Pressing 'ESC' will remove the assigned key."
MSI_HOTKEYWND_NOTICE2,"Unable to specify a single key."
MSI_HOTKEYWND_NOTICE3,"Unable to specify the key assigned."
MSI_HOTKEYWND_NOTICE4,"Duplicated with [[%s]]. Do you still want to change?"
MSI_HOTKEYWND_NOTICE5,"Initialization is stored in the shortcut key settings. Do you want to initialized?"
MSI_HOTKEYWND_TAB1,"Skill Bar"
MSI_HOTKEYWND_TAB2,"Interface"
MSI_HOTKEYWND_TAB3,"Macros"
MSI_HOTKEYWND_TITLE,"Shortcut Settings"
MSI_BGM,"    BGM"
